City A,City B,Time by train,Distance by train,Time by car,Distance by car
Ankara,Istanbul,5:36,576,4:30,433
Istanbul,Ankara,5:36,576,4:51,434
Athens,Thessaloniki,5:23,502,5:27,502
Thessaloniki,Athens,5:10,502,5:52,501
Athens,Patras,4:40,220,2:21,211
Patras,Athens,4:40,220,2:27,211
Barcelona,Montpellier,1:55,160,3:42,344
Montpellier,Barcelona,1:55,160,3:48,344
Barcelona,Madrid,2:45,625,7:11,623
Madrid,Barcelona,2:30,625,6:25,626
Barcelona,Sevilla,5:40,550,9:49,994
Sevilla,Barcelona,5:40,550,10:16,993
Barcelona,Valencia,3:15,310,3:38,349
Valencia,Barcelona,3:15,310,3:47,348
Belfast,Dublin,3:00,270,1:48,167
Dublin,Belfast,3:00,270,1:46,166
Belgrade,Zagreb,5:30,357,4:04,398
Zagreb,Belgrade,5:30,357,4:11,396
Bari,Patras,16:30,970,13:11,653
Patras,Bari,16:30,970,13:35,651
Belgrade,Bucharest,9:25,620,8:23,595
Bucharest,Belgrade,9:25,620,8:07,599
Belgrade,Sofia,11:25,482,4:27,391
Sofia,Belgrade,11:25,482,4:32,393
Belgrade,Skopje,4:15,250,4:26,432
Skopje,Belgrade,4:15,250,4:38,432
Berlin,Amsterdam,3:19,650,7:28,656
Amsterdam,Berlin,3:19,650,7:17,657
Berlin,Cologne,2:58,507,6:39,574
Cologne,Berlin,2:58,507,6:28,574
Berlin,Munich,5:19,585,6:23,586
Munich,Berlin,5:17,585,6:36,585
Berlin,Prague,4:25,267,4:01,350
Prague,Berlin,4:25,267,3:58,350
Berlin,Poznan,2:59,274,3:12,272
Poznan,Berlin,2:59,274,3:00,273
Bern,Milan,3:35,260,4:32,353
Milan,Bern,3:35,260,4:22,350
Bern,Rome,7:20,580,10:28,851
Rome,Bern,7:20,580,11:00,936
Bern,Frankfurt,4:47,460,4:40,421
Frankfurt,Bern,4:47,460,4:57,420
Bern,Lyon,3:50,240,3:23,307
Lyon,Bern,3:50,240,3:26,307
Bialystok,Vilnius,4:24,322,4:23,303
Vilnius,Bialystok,4:24,322,4:09,302
Bologna,Milan,1:14,67,2:45,227
Milan,Bologna,1:14,67,2:42,219
Bologna,Florence,1:30,114,1:27,111
Florence,Bologna,1:30,114,1:31,112
Bordeaux,Lyon,2:41,459,5:24,554
Lyon,Bordeaux,2:41,459,5:24,554
Brussels,Frankfurt,4:18,457,4:45,515
Frankfurt,Brussels,4:18,457,4:45,515
Brussels,London,2:03,380,5:12,358
London,Brussels,2:03,380,5:12,358
Brussels,Cologne,1:45,190,2:25,212
Cologne,Brussels,1:45,190,2:25,212
Brussels,Amsterdam,2:25,214,2:54,208
Amsterdam,Brussels,2:25,214,2:54,208
Budapest,Krakau,6:15,470,4:42,410
Krakau,Budapest,6:15,470,4:42,410
Budapest,Vienna,2:56,248,2:35,240
Vienna,Budapest,2:56,248,2:35,240
Budapest,Bucharest,8:50,513,6:10,520
Bucharest,Budapest,8:50,513,6:10,520
Budapest,Ljubljana,10:06,490,4:45,463
Ljubljana,Budapest,10:06,490,4:45,463
Budapest,Zagreb,5:36,360,4:32,330
Zagreb,Budapest,5:36,360,4:32,330
Budapest,Belgrade,8:30,412,5:48,400
Belgrade,Budapest,8:30,412,5:48,400
Cologne,Amsterdam,3:20,220,2:54,208
Amsterdam,Cologne,3:20,220,2:54,208
Copenhagen,Stockholm,5:20,550,6:30,650
Stockholm,Copenhagen,5:20,550,6:30,650
Cork,Dublin,3:15,266,2:45,270
